year,foreign,total
1968,2,5798
1969,1,5647
1970,1,6147
1971,16,4751
1972,23,5998
1973,60,6224
1974,45,6232
1975,62,5827
1976,33,5507
1977,25,6014
1978,21,5677
1979,17,5930
1980,20,5839
1981,21,5818
1982,13,5684
1983,14,5376
1984,22,5864
1985,11,6377
1986,21,5986
1987,26,5570
1988,24,5549
1989,23,5227
1990,36,5851
1991,31,5505
1992,30,5423
1993,42,5463
1994,36,5690
1995,42,6100
1996,40,5944
1997,49,5810
1998,67,6472
1999,95,6484
2000,118,6184
2001,205,6222
2002,154,6366
2003,243,6802
2004,285,6987
2005,313,7039
2006,348,7172
2007,433,6949
2008,714,7299
2009,713,6991
2010,905,6936
2011,958,7255
2012,909,6933
2013,1173,7331
2014,1059,6937
2015,1120,7565
2016,1051,7593
2017,1138,7518
2018,939,7609
2019,964,7665
2020,914,7530
2021,1133,8303